,champions,wins
346,'DrMundo**Lux',302
347,'Jhin**XinZhao',301
348,'Ezreal**Khazix',301
349,'Irelia**Lucian',301
350,'Samira**Yone',301
351,'Ezreal**Jayce',300
352,'Caitlyn**Senna',300
353,'Kaisa**MasterYi',300
354,'Lucian**Thresh',300
355,'Ashe**Graves',299
356,'Morgana**Viego',299
357,'Jayce**Jhin',299
358,'Pyke**Vayne',299
359,'Kayn**Sylas',298
360,'Talon**Vayne',298
361,'Vi**Yasuo',298
362,'Ekko**Leona',297
363,'Leona**Viego',297
364,'Thresh**Tristana',296
365,'Kaisa**Pyke',295
366,'Garen**Jinx',295
367,'Lucian**Lulu',294
368,'Kayn**Morgana',294
369,'Malphite**Vayne',294
370,'Brand**Ezreal',294
371,'Viego**Xerath',294
372,'Lucian**Viego',293
373,'MasterYi**Xerath',292
374,'Blitzcrank**Irelia',292
375,'Caitlyn**Darius',292
376,'Garen**Morgana',292
377,'Jinx**Shaco',292
378,'Pyke**Yasuo',291
379,'Vayne**Viktor',291
380,'Sett**Xerath',291
381,'Samira**Sett',291
382,'Sylas**Viego',291
383,'Caitlyn**Talon',290
384,'LeeSin**Tristana',290
385,'Sett**Yuumi',289
386,'Irelia**Kayn',289
387,'Caitlyn**Nocturne',289
388,'Teemo**Zed',289
389,'Lulu**Yone',289
390,'Graves**Lulu',289
391,'Brand**Yasuo',289
392,'Ashe**Thresh',288
393,'Ashe**Zed',288
394,'Ezreal**Nautilus',288
395,'Jhin**Tryndamere',288
396,'Kayn**Xerath',287
397,'Lux**Trundle',287
398,'LeeSin**Senna',287
399,'Jinx**Viktor',287
400,'Ezreal**Nidalee',287
401,'Jinx**Xerath',287
402,'Darius**Yasuo',286
403,'Amumu**Yasuo',286
404,'Caitlyn**Pyke',286
405,'Yasuo**Zac',285
406,'Caitlyn**Khazix',285
407,'Irelia**Leona',284
408,'Camille**Lux',284
409,'Sett**Zed',284
410,'Shaco**Yone',283
411,'Ekko**Zed',282
412,'Diana**Vayne',282
413,'Lux**Morgana',282
414,'Samira**Thresh',281
415,'Katarina**Vayne',281
416,'Sett**Thresh',281
417,'Graves**Yuumi',280
418,'Kayn**Yuumi',280
419,'Irelia**Yuumi',280
420,'Lucian**Zed',279
421,'MissFortune**Vex',279
422,'Blitzcrank**Viego',279
423,'Sett**Tristana',278
424,'Irelia**MasterYi',277
425,'Akali**Kaisa',277
426,'Irelia**Yasuo',277
427,'Caitlyn**Leblanc',277
428,'Teemo**Viego',277
429,'Brand**Caitlyn',277
430,'Irelia**Xerath',277
431,'LeeSin**Malphite',276
432,'Ezreal**Tryndamere',276
433,'MissFortune**Veigar',276
434,'Caitlyn**Malphite',276
435,'Akali**Thresh',275
436,'Katarina**LeeSin',274
437,'Aatrox**Ezreal',274
438,'MissFortune**Nasus',274
439,'Alistar**Samira',274
440,'Blitzcrank**Samira',273
441,'Leona**MasterYi',273
442,'Fiora**Jhin',272
443,'Ashe**Garen',272
444,'Morgana**Tristana',272
445,'Ashe**Teemo',272
446,'Ezreal**Volibear',271
447,'Graves**Irelia',271
448,'Jax**Jinx',271
449,'Ezreal**Vi',271
450,'Warwick**Yone',271
451,'Jhin**Pantheon',270
452,'MissFortune**Talon',270
453,'Ezreal**Lulu',270
454,'Leblanc**Vayne',270
455,'Jax**Vayne',269
456,'Kayn**Leona',269
457,'Darius**Kaisa',269
458,'Garen**Vayne',269
459,'Caitlyn**Nasus',268
460,'Ezreal**Nasus',268
461,'Jinx**Malphite',268
462,'LeeSin**Zed',268
463,'Caitlyn**Lulu',268
464,'Leona**Lucian',268
465,'Khazix**Vayne',267
466,'Garen**Kayn',267
467,'MasterYi**Yuumi',267
468,'Kaisa**Malphite',267
469,'Amumu**Vayne',267
470,'Jinx**Warwick',266
471,'Darius**Jinx',266
472,'Irelia**Viego',265
473,'Ashe**Ekko',265
474,'MissFortune**Volibear',265
475,'Mordekaiser**Vayne',265
476,'Akali**MasterYi',265
477,'Ahri**Jhin',264
478,'Akali**Graves',264
479,'Soraka**Vayne',264
480,'Sett**Sylas',264
481,'MissFortune**Nocturne',263
482,'Leblanc**MissFortune',263
483,'Leona**Sett',263
484,'Leona**Sylas',263
485,'MissFortune**Vi',263
486,'Lucian**Morgana',262
487,'Morgana**Warwick',262
488,'Twitch**Yasuo',262
489,'Diana**MissFortune',262
490,'Ashe**Blitzcrank',262
491,'Caitlyn**Mordekaiser',262
492,'Graves**Leblanc',262
493,'Caitlyn**Katarina',261
494,'Blitzcrank**Lucian',261
495,'Senna**Sett',261
496,'MasterYi**Tristana',260
497,'LeeSin**Pyke',260
498,'Samira**Viego',260
499,'Graves**Sett',260
500,'Khazix**MissFortune',260
501,'Caitlyn**Vex',260
502,'MasterYi**Sylas',260
503,'Kayn**Tristana',259
504,'Akali**Kayn',259
505,'Katarina**MissFortune',259
506,'Ekko**Morgana',259
507,'Nautilus**Yone',259
508,'Jinx**Leblanc',259
509,'Ezreal**Pantheon',258
510,'Amumu**Lux',258
511,'Mordekaiser**Yone',258
512,'LeeSin**Nautilus',257
513,'Ashe**Warwick',257
514,'Caitlyn**Nautilus',257
515,'Ezreal**Zyra',257
516,'Blitzcrank**Zed',257
517,'Kaisa**Katarina',257
518,'Amumu**Jhin',257
519,'Caitlyn**Tryndamere',256
520,'Ekko**Senna',256
521,'MissFortune**Senna',256
522,'Vayne**Vi',256
523,'Ashe**Sylas',255
524,'Ezreal**Soraka',255
525,'Morgana**Sylas',255
