,Unnamed: 0,Champion,pick,win,win_rate,bans,"Best Enemy, winRate","Worst Enemy, winRate"
138,138,Malzahar,1421.0,659.0,46.37579169598874,566.0,"('AurelionSol', 77.77777777777779)","('Rell', 18.75)"
139,139,Velkoz,1405.0,677.0,48.18505338078292,,"('Skarner', 100.0)","('AurelionSol', 22.22222222222222)"
140,140,Sivir,1285.0,647.0,50.35019455252918,78.0,"('Rammus', 80.0)","('Udyr', 16.666666666666664)"
141,141,Heimerdinger,1265.0,677.0,53.51778656126483,377.0,"('Skarner', 100.0)","('Yorick', 25.0)"
142,142,Ivern,1262.0,648.0,51.34706814580032,547.0,"('Varus', 100.0)","('Shyvana', 7.6923076923076925)"
143,143,Udyr,1207.0,584.0,48.3844241922121,424.0,"('Sivir', 83.33333333333334)","('Ivern', 16.666666666666664)"
144,144,Sejuani,1128.0,576.0,51.06382978723404,117.0,"('Varus', 87.5)","('Yorick', 20.0)"
145,145,Taric,1125.0,567.0,50.4,157.0,"('Olaf', 100.0)","('Renekton', 14.285714285714285)"
146,146,Azir,1050.0,501.0,47.714285714285715,167.0,"('Udyr', 76.92307692307693)","('Varus', 22.22222222222222)"
147,147,Shyvana,1017.0,517.0,50.83579154375615,130.0,"('Ivern', 92.3076923076923)","('Evelynn', 25.0)"
148,148,Olaf,967.0,455.0,47.05274043433299,428.0,"('Gangplank', 77.77777777777779)","('Skarner', 12.5)"
149,149,Varus,945.0,437.0,46.24338624338624,42.0,"('Azir', 77.77777777777779)","('Annie', 12.5)"
150,150,Quinn,840.0,448.0,53.33333333333334,180.0,"('Rumble', 78.57142857142857)","('Anivia', 25.0)"
151,151,Neeko,820.0,385.0,46.95121951219512,100.0,"('AurelionSol', 100.0)","('Gnar', 14.285714285714285)"
152,152,AurelionSol,650.0,362.0,55.69230769230769,,"('Elise', 100.0)","('Alistar', 10.0)"
153,153,Rammus,641.0,340.0,53.0421216848674,479.0,"('Illaoi', 100.0)","('Janna', 18.181818181818183)"
154,154,Skarner,619.0,336.0,54.281098546042,132.0,"('Azir', 100.0)","('KogMaw', 22.22222222222222)"
155,155,Illaoi,615.0,291.0,47.3170731707317,234.0,"('Skarner', 100.0)","('Lillia', 15.384615384615385)"
156,156,Yorick,558.0,283.0,50.716845878136205,208.0,"('Varus', 100.0)","('Fizz', 12.5)"
157,157,None,,,,23784.0,,
158,158,LeBlanc,,,,19549.0,,
159,159,Lee Sin,,,,11817.0,,
160,160,Kha'Zix,,,,5336.0,,
161,161,Tahm Kench,,,,4478.0,,
162,162,Fiddlesticks,,,,4131.0,,
163,163,Xin Zhao,,,,3607.0,,
164,164,Twisted Fate,,,,3123.0,,
165,165,Miss Fortune,,,,2373.0,,
166,166,Master Yi,,,,1865.0,,
167,167,Rek'Sai,,,,1543.0,,
168,168,Nunu & Willump,,,,1542.0,,
169,169,Wukong,,,,849.0,,
170,170,Jarvan IV,,,,838.0,,
171,171,Dr. Mundo,,,,587.0,,
172,172,Cho'Gath,,,,307.0,,
173,173,Kai'Sa,,,,282.0,,
174,174,Kog'Maw,,,,246.0,,
175,175,Aurelion Sol,,,,193.0,,
176,176,Vel'Koz,,,,149.0,,
