,champion,pick,win,win_rate,bans
151,Neeko,820.0,385.0,46.95121951219512,100.0
152,AurelionSol,650.0,362.0,55.69230769230769,
153,Rammus,641.0,340.0,53.042121684867396,479.0
154,Skarner,619.0,336.0,54.281098546042,132.0
155,Illaoi,615.0,291.0,47.3170731707317,234.0
156,Yorick,558.0,283.0,50.7168458781362,208.0
157,None,,,,23784.0
158,LeBlanc,,,,19549.0
159,Lee Sin,,,,11817.0
160,Kha'Zix,,,,5336.0
161,Tahm Kench,,,,4478.0
162,Fiddlesticks,,,,4131.0
163,Xin Zhao,,,,3607.0
164,Twisted Fate,,,,3123.0
165,Miss Fortune,,,,2373.0
166,Master Yi,,,,1865.0
167,Rek'Sai,,,,1543.0
168,Nunu & Willump,,,,1542.0
169,Wukong,,,,849.0
170,Jarvan IV,,,,838.0
171,Dr. Mundo,,,,587.0
172,Cho'Gath,,,,307.0
173,Kai'Sa,,,,282.0
174,Kog'Maw,,,,246.0
175,Aurelion Sol,,,,193.0
176,Vel'Koz,,,,149.0
