,champion,pick,win,win_rate
124,Ornn,1830,930,50.81967213114754
125,Mordekaiser,1807,846,46.81793027116768
126,Pantheon,1795,852,47.46518105849582
127,Volibear,1794,877,48.885172798216274
128,Braum,1770,880,49.717514124293785
129,Fizz,1768,871,49.26470588235294
130,Zyra,1604,844,52.618453865336654
131,Annie,1583,779,49.21036007580543
132,Kalista,1565,774,49.456869009584665
133,Nasus,1558,765,49.101412066752246
134,Swain,1517,764,50.36255767963085
135,Gnar,1484,711,47.911051212938006
136,Kled,1451,713,49.13852515506547
137,KogMaw,1439,753,52.328005559416255
138,Malzahar,1421,659,46.37579169598874
139,Velkoz,1405,677,48.18505338078292
140,Sivir,1285,647,50.35019455252918
141,Heimerdinger,1265,677,53.51778656126483
142,Ivern,1262,648,51.347068145800314
143,Udyr,1207,584,48.384424192212094
144,Sejuani,1128,576,51.06382978723404
145,Taric,1125,567,50.4
146,Azir,1050,501,47.714285714285715
147,Shyvana,1017,517,50.835791543756145
148,Olaf,967,455,47.05274043433299
149,Varus,945,437,46.24338624338624
150,Quinn,840,448,53.333333333333336
151,Neeko,820,385,46.95121951219512
152,AurelionSol,650,362,55.69230769230769
153,Rammus,641,340,53.042121684867396
154,Skarner,619,336,54.281098546042
155,Illaoi,615,291,47.3170731707317
156,Yorick,558,283,50.7168458781362
