,Champion,Against,VS. Times,VS. Won,VS. Win Rate
356,Nami,Jinx,680,324,47.647058823529406
357,Sylas,Yone,638,324,50.78369905956113
358,MissFortune,Ezreal,586,324,55.2901023890785
359,Blitzcrank,Jhin,618,324,52.42718446601942
360,Sylas,Ezreal,627,324,51.674641148325364
361,Viktor,Yasuo,587,323,55.02555366269165
362,Vayne,Viego,608,323,53.125
363,Karma,Jinx,641,322,50.23400936037441
364,Lucian,Yasuo,664,322,48.493975903614455
365,Lux,Talon,681,322,47.28340675477239
366,LeeSin,Leona,636,322,50.62893081761006
367,Zed,Jinx,662,322,48.6404833836858
368,Sylas,Graves,726,321,44.214876033057855
369,Ezreal,Nami,660,321,48.63636363636364
370,Rakan,Ezreal,597,321,53.768844221105525
371,Nidalee,Graves,604,321,53.14569536423841
372,Leona,Ezreal,628,321,51.11464968152867
373,Caitlyn,Nami,617,320,51.86385737439222
374,Jinx,Karma,641,319,49.765990639625585
375,Camille,Zed,561,319,56.86274509803921
376,Lucian,Rakan,656,318,48.47560975609756
377,Zed,Lucian,601,318,52.911813643926784
378,Lux,Yasuo,611,317,51.882160392798696
379,Thresh,Lux,678,317,46.7551622418879
380,Fiora,Camille,625,317,50.72
381,Thresh,Talon,621,316,50.88566827697263
382,LeeSin,Karma,614,316,51.465798045602604
383,Caitlyn,Talon,656,316,48.170731707317074
384,Yone,Vayne,677,316,46.67651403249631
385,Viego,Ekko,622,316,50.80385852090033
386,Lulu,Yuumi,619,315,50.88852988691438
387,Jhin,XinZhao,656,315,48.01829268292683
388,Yone,Sylas,638,314,49.21630094043887
389,Zed,Talon,620,314,50.645161290322584
390,Leona,LeeSin,636,314,49.37106918238994
391,Zed,Viego,613,314,51.22349102773246
392,Yasuo,Lulu,680,314,46.1764705882353
393,LeeSin,Nami,689,314,45.573294629898406
394,Rakan,Viego,595,314,52.77310924369748
395,LeeSin,Vayne,663,314,47.3604826546003
396,Akshan,Jhin,623,313,50.24077046548957
397,LeeSin,Irelia,675,313,46.370370370370374
398,Viego,Viktor,652,313,48.00613496932515
399,Aphelios,Lucian,665,312,46.91729323308271
400,Ezreal,Jayce,618,312,50.48543689320388
401,Jhin,Kayn,584,312,53.42465753424658
402,Thresh,Irelia,577,312,54.07279029462738
403,Graves,Qiyana,648,312,48.148148148148145
404,Thresh,Yasuo,616,312,50.649350649350644
405,Yone,Rakan,651,312,47.926267281105986
406,Jhin,Kaisa,618,312,50.48543689320388
407,LeeSin,Viktor,710,311,43.802816901408455
408,Talon,Rakan,593,311,52.4451939291737
409,Nami,Camille,612,311,50.81699346405229
410,Camille,Yasuo,616,311,50.48701298701299
411,Thresh,Rakan,641,310,48.361934477379094
412,Jhin,Akshan,623,310,49.75922953451043
413,Yone,Zed,635,310,48.818897637795274
414,Lucian,Xayah,641,310,48.361934477379094
415,Jax,Camille,663,309,46.60633484162896
416,Yasuo,Irelia,572,309,54.02097902097902
417,Viego,Irelia,594,309,52.02020202020202
